DRAGON QUEST VII Reimagined item ID by Ruimusume（露易娘）

序号	中文	日文	英文	分类	图片
92	制裁法杖	さばきの杖	Staff of Sentencing	装备	092.png
93	封魔法杖	まふうじの杖	Staff of Antimagic	装备	093.png
94	符文法杖	ルーンスタッフ	Rune Staff	装备	094.png
95	贤者法杖	けんじゃの杖	Sage's Staff	装备	095.png
96	岩浆法杖	マグマの杖	Magma Staff	装备	096.png
97	复活法杖	ふっかつの杖	Staff of Resurrection	装备	097.png
98	海鸣法杖	うみなりの杖	Watermaul Wand	装备	098.png
99	英雄之杖	英雄の杖	Saviour's Staff	装备	099.png
100	史莱姆短杖	スライムステッキ	Slime Stick	装备	100.png
101	冰之法杖	こおりの杖	Shiverstick	装备	101.png
102	塞壬法杖	セイレーンの杖	Siren's Staff	装备	102.png
103	女神法杖	女神の杖	Sacrosanct Staff	装备	103.png
104	永恒法杖	とこしえの杖	Staff of Eternity	装备	104.png
105	妖精短杖	フェアリーステッキ	Pixie Pole	装备	105.png
106	泰塔尼亚杖	タイタニアステッキ	Butterfly Baton	装备	106.png
107	精灵王之杖	精霊王のタクト	Faerie King's Cane	装备	107.png
108	大木锤	おおきづち	Giant Mallet	装备	108.png
109	大铁锤	おおかなづち	Sledgehammer	装备	109.png
110	战锤	ウォーハンマー	War Hammer	装备	110.png
111	魔神之锤	まじんのかなづち	Hela's Hammer	装备	111.png
112	棍棒	こんぼう	Oaken Club	装备	112.png
113	平底锅	フライパン	Frying Pan	装备	113.png
114	力量之爪	パウーナックル	Knuckledusters	装备	114.png
115	锅盖	おなべのふた	Pot Lid	装备	115.png
116	皮盾	皮の盾	Leather Shield	装备	116.png
117	鳞盾	うろこの盾	Scale Shield	装备	117.png
118	猫仔盾牌	キトンシールド	Kitty Shield	装备	118.png
119	青铜盾	せいどうの盾	Bronze Shield	装备	119.png
120	铁盾	てつの盾	Iron Shield	装备	120.png
121	白银托盘	シルバートレイ	Silver Platter	装备	121.png
122	纯白盾	ホワイトシールド	White Shield	装备	122.png
123	魔法盾	まほうの盾	Magic Shield	装备	123.png
124	白金盾	プラチナシールド	Platinum Shield	装备	124.png
125	冰盾	こおりの盾	Ice Shield	装备	125.png
126	龙盾	ドラゴンシールド	Dragon Shield	装备	126.png
127	海豚盾	ドルフィンシールド	Bottlenose Buckler	装备	127.png
128	风神之盾	ふうじんの盾	Tempest Shield	装备	128.png
129	炎之盾	ほのおの盾	Flame Shield	装备	129.png
130	叹息之盾	なげきの盾	Shield of Shame	装备	130.png
131	力量之盾	ちからの盾	Power Shield	装备	131.png
132	巨魔盾	オーガシールド	Ogre Shield	装备	132.png
133	水镜之盾	みかがみの盾	Silver Shield	装备	133.png
134	毁灭之盾	はめつの盾	Ruinous Shield	装备	134.png
135	龙卷之盾	トルナードの盾	Aeras Shield	装备	135.png
136	金属史莱姆王盾	メダルキングの盾	Metal King Shield	装备	136.png
137	史莱姆托盘・蓝	スライムトレイ・青	Blue Slime Shield	装备	137.png
138	史莱姆托盘・红	スライムトレイ・赤	Red Slime Shield	装备	138.png
139	史莱姆托盘・绿	スライムトレイ・緑	Green Slime Shield	装备	139.png
140	史莱姆托盘・银	スライムトレイ・銀	Silver Slime Shield	装备	140.png
141	金属史莱姆之盾	メタスラの盾	Metal Slime Shield	装备	141.png
142	流浪金属史莱姆盾	はぐれメタルの盾	Liquid Metal Shield	装备	142.png
143	洛特之盾	ロトの盾	Erdrick's Shield	装备	143.png
144	布衣	布の服	Plain Clothes	装备	144.png
145	旅行者装	たびびとの服	Wayfarer's Clothes	装备	145.png
146	丝织礼服	きぬのタキシード	Silk Tuxedo	装备	146.png
147	史莱姆衣服	スライムの服	Slime Gooniform	装备	147.png
148	舞女衣	おどりこの服	Dancer's Costume	装备	148.png
149	贵族服	きぞくの服	Noble Garb	装备	149.png
150	闪避之衣	みかわしの服	Cloak of Evasion	装备	150.png
151	华丽服装	はでな服	Garish Garb	装备	151.png
152	海盗服	かいぞくの服	Captain's Coat	装备	152.png
153	时尚衣服	おしゃれなスーツ	Smart Suit	装备	153.png
154	魔法短裙	マジカルスカート	Magical Skirt	装备	154.png
155	皮裙	皮のトレス	Leather Dress	装备	155.png
156	派对礼服	パーティードレス	Party Dress	装备	156.png
157	亮片礼服	スパンコールドレス	Spangled Dress	装备	157.png
158	光之礼服	ひかりのドレス	Shimmering Dress	装备	158.png
159	破布片	ただの布きれ	Rags	装备	159.png
160	毛皮披风	毛皮のマント	Fur Cape	装备	160.png
161	神奇短外套	ふしぎなボレロ	Glombolero	装备	161.png
162	暗之披风	やみのこれも	Dark Robe	装备	162.png
163	丝织长袍	きぬのローブ	Silk Robe	装备	163.png
164	魔法法衣	まほうの法衣	Magic Vestment	装备	164.png
165	魔道士长袍	まどうしのローブ	Legerdemantle	装备	165.png
166	风之长袍	風のローブ	Cirrus Surplice	装备	166.png
167	天使长袍	天使のローブ	Angel's Robe	装备	167.png
168	纯净锦衣	清きころも	Vestment of Virtue	装备	168.png
169	水之羽衣	みずのはごろも	Flowing Dress	装备	169.png
170	公主长袍	プリンセスローブ	Princess's Robe	装备	170.png
171	龙之长袍	ドラゴンローブ	Dragon Robe	装备	171.png
172	短裤	ステテコパンツ	Boxer Shorts	装备	172.png
173	皮腰带	皮のこしまき	Leather Kilt	装备	173.png
174	兔女郎装	バニースーツ	Cottontail Costume	装备	174.png
175	天使紧身衣	天使のレオタード	Angel Leotard	装备	175.png
176	丝绸束胸衣	シルクのビスチェ	Silk Bustier	装备	176.png
177	神秘的束胸衣	しんぴのビスチェ	Divine Bustier	装备	177.png
178	假期连衣裙	おやすみワンピース	Day Off Dress	装备	178.png
179	铁制胸铠	てつのむねあて	Iron Cuirass	装备	179.png
180	银制胸铠	ぎんのむねあて	Silver Cuirass	装备	180.png
181	皮铠	皮のよろい	Leather Armour	装备	181.png
182	鳞铠	うろこのよろい	Scale Armour	装备	182.png
183	甲壳铠	こうらのよろい	Shell Armour	装备	183.png
184	锁链甲	くさりかたびら	Chain Mail	装备	184.png
185	青铜铠甲	せいどうのよろい	Bronze Armour	装备	185.png
186	铁制铠甲	てつのよろい	Iron Armour	装备	186.png
187	龟壳	カメのこうら	Tortoise Shell	装备	187.png
188	钢铁铠甲	はがねのよろい	Full Plate Armour	装备	188.png
189	维京人铠甲	バイキングアーマー	Pillager's Platemail	装备	189.png
190	舞蹈锁甲	ダンシングメイル	Dancer's Mail	装备	190.png
191	白银锁甲	シルバーメイル	Silver Mail	装备	191.png
192	魔法铠甲	まほうのよろい	Magic Armour	装备	192.png
193	厚实铠甲	あつでのよろい	Heavy Armour	装备	193.png
194	刀刃铠甲	やいばのよろい	Spiked Armour	装备	194.png
195	精灵之铠	精霊のよろい	Enchanted Armour	装备	195.png
196	龙鳞锁甲	ドラゴンメイル	Dragon Mail	装备	196.png
197	地狱甲胄	じごくのよろい	Hate Mail	装备	197.png
198	白金锁甲	プラチナメイル	Platinum Mail	装备	198.png
199	火焰铠甲	ほのおのよろい	Flame Armour	装备	199.png
200	史莱姆铠甲	スライムアーマー	Slime Armour	装备	200.png
201	神秘铠甲	しんぴのよろい	Sacred Armour	装备	201.png
202	魔神之铠	まじんのよろい	Hela's Armour	装备	202.png
203	巨人之铠	ギガントアーマー	Gigant Armour	装备	203.png
204	明镜铠甲	ミラーアーマー	Mirror Armour	装备	204.png
205	王家铠甲	王家のよろい	Royal Mail	装备	205.png
206	金属史莱姆王铠甲	メタルキングよろい	Metal King Armour	装备	206.png
207	盖亚拉铠甲	ガイアラのよろい	Gaia Armour	装备	207.png
208	貂皮大衣	ミンクのコート	Mink Mantle	装备	208.png
209	王者披风	王者のマント	Pallium Regale	装备	209.png
210	包袱布披风	ふろしきマント	Windcheater	装备	210.png
211	真・神奇短外套	真ふしぎなボレロ	Glitzy Glombolero	装备	211.png
212	真・神秘铠甲	真しんぴのよろい	Sacreder Armour	装备	212.png
213	皮帽	皮のぼうし	Leather Hat	装备	213.png
214	尖帽子	とんがりぼうし	Pointy Hat	装备	214.png
215	木帽	木のぼうし	Hardwood Headwear	装备	215.png
216	贝壳帽	かいがらぼうし	Shellmet	装备	216.png
217	神奇帽子	ふぎなぼうし	Mad Cap	装备	217.png
218	毛皮兜帽	毛皮のフード	Fur Hood	装备	218.png
219	知识帽	ちしきのぼうし	Canny Cap	装备	219.png
220	礼帽	シルクハット	Top Hat	装备	220.png
221	船长帽	キャプテンハット	Pirate's Hat	装备	221.png
222	回音帽子	やまびこのぼうし	Duplic Hat	装备	222.png
223	风之帽子	風のぼうし	Hermes' Hat	装备	223.png
224	幸福帽子	しあわせのぼうし	Happy Hat	装备	224.png
225	发箍	ヘアバンド	Hairband	装备	225.png
226	包头巾	ターバン	Turban	装备	226.png
227	银制发饰	ぎんのかみかざり	Silver Tiara	装备	227.png
228	兔耳发箍	うさみみバンド	Rabbit Ears	装备	228.png
229	铁制头盔	てつかびと	Iron Helmet	装备	229.png
230	铁面具	てっかめん	Iron Mask	装备	230.png
231	维京人护帽	バイキングメット	Pillager's Helmet	装备	231.png
232	白金盔胄	プラチナヘッド	Platinum Headgear	装备	232.png
233	狂战士头盔	バーサカヘルム	Haywire Helm	装备	233.png
234	智力头盔	知力のかぶと	Thinking Cap	装备	234.png
235	黄金冠	おうごんのティアラ	Golden Tiara	装备	235.png
236	儒艮头盔	デュゴンのかぶと	Seacow Sallet	装备	236.png
237	伟大头盔	グレードヘルム	Great Helm	装备	237.png
238	烈焰头盔	フェーゴのかぶと	Pyros Helm	装备	238.png
239	金属史莱姆王头盔	メタルキングヘルム	Metal King Helm	装备	239.png
240	般若面具	はんにゃのめん	Mask of Implacability	装备	240.png
241	太阳冠	太陽のかんむり	Sun Crown	装备	241.png
242	史莱姆王冠	スラムのかんむり	Slime Crown	装备	242.png
243	铁锅	てつなべ	Tin Pot	装备	243.png
244	真・神奇帽子	真ふしぎなぼうし	Raving Mad Cap	装备	244.png
245	钢铁头盔	はがねのかぶと	Steel Helmet	装备	245.png
246	星降手环	ほしふるうでわ	Meteorite Bracer	装备	246.png
247	美加恩特手环	メガンテのうでわ	Kamikazee Bracer	装备	247.png
248	美加扎尔手环	メガザルのうでわ	Kerplunk Bracer	装备	248.png
249	金手镯	きんのブレスレット	Gold Bracer	装备	249.png
250	豪杰手环	ごうけつのうでわ	Mighty Armlet	装备	250.png
251	时尚头巾	おしゃれなバンダナ	Trailblazing Bandana	装备	251.png
252	疾风头巾	しっぷうのバンダナ	Mercury's Bandana	装备	252.png
253	陈旧眼镜	古びたメガネ	Wrecked Specs	装备	253.png
254	知识眼镜	インテリメガネ	Scholar's Specs	装备	254.png
255	蝴蝶结领带	ちょうネクタイ	Bow Tie	装备	255.png
256	吊袜带	ガーターベルト	Garter	装备	256.png
257	网纹紧身衣	あみタイツ	Fishnet Stockings	装备	257.png
258	玻璃鞋	ガラスのくつ	Glass Slippers	装备	258.png
259	幸福靴子	しあわせのくつ	Elevating Shoes	装备	259.png
260	祈祷戒指	いのりのゆびわ	Prayer Ring	装备	260.png
261	力量戒指	ちからのゆびわ	Strength Ring	装备	261.png
262	生命戒指	命のゆびわ	Life Ring	装备	262.png
263	疾风戒指	はやてのリング	Agility Ring	装备	263.png
264	女神戒指	女神のゆびわ	Goddess Ring	装备	264.png
265	星之碎片	ほしのかけら	Lucida Shard	装备	265.png
266	粉红珍珠	ピンクパール	Pink Pearl	装备	266.png
267	兔子尾巴	うさぎのしっぽ	Rabbit Tail	装备	267.png
268	人鱼之月	人魚の月	Mermaid Moon	装备	268.png
269	史莱姆耳环	スライムピアス	Slime Earrings	装备	269.png
270	守护红宝石	まもりのルビー	Ruby of Protectior	装备	270.png
271	大地护身符	大地のアミュレット	Earth Amulet	装备	271.png
272	火焰护身符	炎のアミュレット	Fire Amulet	装备	272.png
273	纯水护身符	水のアミュレット	Water Amulet	装备	273.png
274	疾风护身符	風のアミュレット	Air Amulet	装备	274.png
275	风之披风	風のマント	Windbraker	装备	275.png
276	英雄腰带	ヒーローベルト	Champion's Belt	装备	276.png
277	超・幸福靴子	超しあわせのくつ	Extra-Elevating Shoes	装备	277.png
278	幸运垂饰	ラッキーペンダント	Lucky Pendant	装备	278.png
279	史莱姆之心	スライムの心	Slime Heart	装备	279.png
280	舞蹈宝石之心	おどるほうせきの心	Goodybag Heart	装备	280.png
281	霍伊米史莱姆之心	ホイミスライムの心	Healslime Heart	装备	281.png
282	厚唇蛞蝓之心	リップスの心	Lips Heart	装备	282.png
283	段平刀姆乔之心	ダンビラムーチョの心	Notso Macho Heart	装备	283.png
284	巨像兵之心	ゴーレムの心	Golem Heart	装备	284.png
285	水井魔神之心	いどまじんの心	Well Wisher Heart	装备	285.png
286	杀人豹之心	キラーパンサーの心	Great Sabrecat Heart	装备	286.png
287	鼠射手之心	リリパットの心	Bodkin Archer Heart	装备	287.png
288	大木锤之心	おおきづちの心	Hammerhood Heart	装备	288.png
289	猫魔导士之心	ねこまどうの心	Meowgician Heart	装备	289.png
290	仙人掌球之心	サボテンボールの心	Cactiball Heart	装备	290.png
291	泡沫史莱姆之心	バブルスライムの心	Bubble Slime Heart	装备	291.png
292	金属史莱姆之心	メタルスライムの心	Metal Slime Heart	装备	292.png
293	大铁锤之心	ブラウニーの心	Brownie Heart	装备	293.png
294	大魔道之心	だいまどうの心	Vis Mager Heart	装备	294.png
295	黄金人之心	ゴールドマンの心	Gold Golem Heart	装备	295.png
296	时间大师之心	タイムマスターの心	Time Being Heart	装备	296.png
297	神之心	かみさまの心	Numen Heart	装备	297.png
298	骸骨剑士之心	がいこつけんしの心	Skeleton Swordsman Heart	装备	298.png
299	巫妖骑士之心	ナイトリッチの心	Fright Knight Heart	装备	299.png
300	报废士兵之心	ポンコツ兵の心	Scrapper Heart	装备	300.png
301	独眼巨人之心	サイクロプスの心	Cyclops Heart	装备	301.png
302	果冻人之心	ジェリーマンの心	Admirer Heart	装备	302.png
303	尼克洛巴萨之心	ネクロバルサの心	Togre Heart	装备	303.png
304	食人魔之心	トロルの心	Troll Heart	装备	304.png
305	肌肉男之心	あらくれの心	Goon Heart	装备	305.png
306	山贼之心	さんぞくの心	Swagman Heart	装备	306.png
307	小恶魔之心	インプの心	Little Devil Heart	装备	307.png
308	小恶魔法师之心	マージインプの心	Very Devil Heart	装备	308.png
309	泥人偶之心	どろにんぎょうの心	Mud Mannequin Heart	装备	309.png
310	龙之心	ドラゴンの心	Green Dragon Heart	装备	310.png
311	地狱太古龙之心	ヘルジュラシックの心	Dragster Heart	装备	311.png
312	洞窟魔神之心	どうくつまじんの心	Grody Gumpdrops Heart	装备	312.png
313	神龙之心	神竜の心	Xenlon Heart	装备	313.png
314	巨龙之心	ギガントドラゴンの心	Drakulard Heart	装备	314.png
315	暗影魔王之心	シャドーサタンの心	Hypothermion Heart	装备	315.png
316	流浪金属史莱姆之心	はぐれメタルの心	Liquid Metal Slime Heart	装备	316.png
317	金属史莱姆王之心	メタルキングの心	Metal King Slime Heart	装备	317.png
318	死亡追踪者之心	キラーストーカーの心	Wight Watchman Heart	装备	318.png
319	狮头怪之心	ライオンヘッドの心	Infanticore Heart	装备	319.png
320	豹猫法师之心	ジャガーメイジの心	Clawcerer Heart	装备	320.png
321	贝霍玛史莱姆之心	ベホマスライムの心	Cureslime Heart	装备	321.png
322	龙王之心	竜王の心	Dragonlord Heart	装备	322.png
323	席德之心	シドーの心	Malroth Heart	装备	323.png
324	索玛之心	ゾーマの心	Zoma Heart	装备	324.png
325	药草	やくそう	Medicinal Herb	道具	325.png
326	上等药草	上やくそう	Strong Medicine	道具	326.png
327	特级药草	特やくそう	Special Medicine	道具	327.png
328	阿密特煎饼	アミットせんべい	Pilchard Crackers	道具	328.png
329	阿密特馅饼	アミットまんじゅう	Pilchard Pie	道具	329.png
330	解毒草	どくけしそう	Antidotal Herb	道具	330.png
331	满月草	まんげつそう	Moonwort Bulb	道具	331.png
332	魔法小瓶	まほうの小ビン	Single Phial	道具	332.png
333	魔法圣水	まほうのせいすい	Magic Water	道具	333.png
334	埃尔夫族的内服药	エルフののみぐすい	Elfin Elixir	道具	334.png
335	世界树之叶	せかいじゅの葉	Yggdrasil Leaf	道具	335.png
336	世界树之露	せかいじゅのしずく	Yggdrasil Dew	道具	336.png
337	奇美拉之翼	キメラのばさ	Chimaera Wing	道具	337.png
338	圣水	せいすい	Holy Water	道具	338.png
339	毒蛾鳞粉	どくがのこな	Coagulant	道具	339.png
340	奇迹之石	奇跡の石	Salvation Stone	道具	340.png
341	贤者之石	けんじゃの石	Sage's Stone	道具	341.png
342	生命之石	命の石	Dieamend	道具	342.png
343	马粪	うまのふん	Horse Manure	道具	343.png
344	生命果实	命のきのみ	Seed of Life	道具	344.png
345	魔力果实	ふしぎなきのみ	Seed of Magic	道具	345.png
346	力量种子	ちからのたね	Seed of Strength	道具	346.png
347	灵巧种子	きようさのたね	Seed of Deftness	道具	347.png
348	速度种子	すばやさのたね	Seed of Agility	道具	348.png
349	防御种子	まもりのたね	Seed of Resilience	道具	349.png
350	魔力种子	まりゅくのたね	Seed of Sorcery	道具	350.png
351	信仰种子	しんこうのたね	Seed of Therapeusis	道具	351.png
352	美肌草	うつくしそう	Pretty Betsy	道具	352.png
353	超生命果实	超命のきのみ	Super Seed of Life	道具	353.png
354	超魔力果实	超ふしぎなきのみ	Super Seed of Magic	道具	354.png
355	超力量种子	超ちからのたね	Super Seed of Strength	道具	355.png
356	超灵巧种子	超きようさのたね	Super Seed of Deftness	道具	356.png
357	超速度种子	超すばやさのたね	Super Seed of Agility	道具	357.png
358	超守护种子	超まもりのたね	Super Seed of Resilience	道具	358.png
359	超魔力种子	超まりゅくのたね	Super Seed of Sorcery	道具	359.png
360	超信仰种子	超しんこうのたね	Super Seed of Therapeusis	道具	360.png
361	超美肌草	超うつくしそう	Super Pretty Betsy	道具	361.png
362	熟练种子	熟練のたね	Seed of Proficiency	道具	362.png
363	凤尾鱼三明治	アンチョビサンド	Pilchard Sandwich	道具	363.png
364	盐煮小鱼	小魚のつくだ煮	Fish Bits	道具	364.png
365	王家古书	王家の古文書	Ancient Tome	重要道具	365.png
366	炙热石	ホットストーン	Sizzling Stone	重要道具	366.png
367	木制人偶	木の人形	Wooden Doll	道具	367.png
368	绿色宝玉	緑色の宝玉	Green Gem	重要道具	368.png
369	很厉害的圣水	すごい聖水	Wholly Holy Water	重要道具	369.png
370	很厉害的圣水瓶	すごい聖水のビン	Wholly Holy Water (Empty Bottle)	重要道具	370.png
371	七彩之露	七色のしずく	Prism Dew	重要道具	371.png
372	圆圆钮扣	まんまるボタン	Little Blue Button	重要道具	372.png
373	天使之泪	天使の涙	Angel's Tears	重要道具	373.png
374	机关士兵的零件	からくり兵の部品	Globular Pistotron	重要道具	374.png
375	爱丽的设计图与零件	エリーの設計図と部品	Blueprints and Spare Part	重要道具	375.png
376	帕米拉的秘药	パミラのひやく	Palmela's Prescription	重要道具	376.png
377	恩泽葡萄汁	グレイプのグラス	Spirit of the Dance	重要道具	377.png
378	大地铃铛	大地の鈴	Chimes of the Chosen	重要道具	378.png
379	基法的信	キーファの手紙	Kiefer's Letter	重要道具	379.png
380	达玛水晶	ダーマの水晶	Career Sphere	重要道具	380.png
381	魔法地毯	魔法のじゅうたん	Flying Carpet	重要道具	381.png
382	魔法地毯※	魔法のじゅうたん※	Flying Carpet※	重要道具	381.png
383	沙漠护身符	さばくのお守り	Seal of the Sands	重要道具	383.png
384	古代化石	古代の化石	Ancient Skull	重要道具	384.png
385	提拉诺斯的骨头	ティラノスのほね	Serpent's Skull	重要道具	385.png
386	黑暗红宝石	闇のルビー	Blood Ruby	重要道具	386.png
387	友好书信	友好の書状	Letter of Amity	重要道具	387.png
388	钱和信	お金と手紙	Care Package	重要道具	388.png
389	紫色小瓶	むらさきの小ビン	Dubious Concoction	重要道具	389.png
390	皇太后的信	皇太后の書状	Queen Mother's Missive	重要道具	387.png
391	大神官的信	大神官の書状	Wizz's Seal of Approval	重要道具	387.png
392	大地之图拉琴	大地のトゥーラ	Torban of Tiuth	重要道具	392.png
393	星空结晶	星空の結晶	Starshard	重要道具	393.png
394	神石	神の石	Sacred Stone	重要道具	394.png
395	陈旧石碑	古びた石碑	Worn Stone Tablet	重要道具	395.png
396	闪光地衣	光ゴケ	Glowmoss	重要道具	396.png
397	神圣火种	聖なる種火	Guiding light	重要道具	397.png
398	散发纯净光芒的圣水	きれいに光る聖水	Sparkling Holy Water	重要道具	398.png
399	飞行石	飛空石	Skystone	重要道具	399.png
400	凝视宝石	まなざしの宝石	Eye Stones	重要道具	400.png
401	嫣红宝石	ルージュの宝石	Mouth Stone	重要道具	401.png
402	心型宝石	ハート形の宝石	Heart Stone	重要道具	402.png
403	耳环宝石	ピアスの宝石	Ear Stones	重要道具	403.png
404	鼻翼宝石	ノーズの宝石	Nose Stone	重要道具	404.png
405	圣风的光球	聖風の光球	Aeolus Globe	重要道具	405.png
406	空瓶	空のビン	Empty Bottle	重要道具	370.png
407	装满水的瓶子	水で満たされたビン	Bottle of Water	重要道具	369.png
408	给国王的信	王ヘの書状	Letter to the King	重要道具	379.png
409	太阳石戒指	太陽石の指輪	Sunstone Ring	重要道具	409.png
410	盗贼的钥匙	とうぞくのカギ	Thief's Key	重要道具	410.png
411	达玛的钥匙	ダーマのカギ	Alltrades Key	重要道具	411.png
412	山贼的钥匙	さんぞくのカギ	Bandit's Key	重要道具	412.png
413	黑色的钥匙	黒いカギ	Black Key	重要道具	413.png
